Title,Link,Price,Description,Images,Colors,Year,Transmission,Condition
TOYOTA HIACE 2010,https://www.smartautos.co.ke/detail/TOYOTAHIACE-6984.html,2800000.00,"Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Air Bags, Bull Bar, 14 Seater","https://www.smartautos.co.ke/images/CarPhotos/Large_3c198118883ea05afb7f8a22ef119604_15112016024617.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_db0dfc56ce741f6d44da3e6b1e1f6e3a_15112016024618.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_f2ceed397ece4fb960e2a2804eac28be_15112016024618.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_152bd782849dc80701acafd4d7774c6e_15112016024618.jpg",White,2010,Auto,Foreign Used
NISSAN NAVARA 2015,https://www.smartautos.co.ke/detail/NISSANNAVARA-10405.html,4000000.00,"Fog Lights, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Reverse Camera, Electric Seats, ABS, Bluetooth Car Kit, Air Bags, Alloy Wheels, Leather Interior, Multi Function Steering Wheel, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_ddf5f2936cff671c79cda334cc68b42e_02082018054108.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_c8fede9230df04cecbdc002085a5e0b4_02082018054108.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_fd2712b149d5bf6c2be90dc883f12175_02082018054108.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_36a4eea14ee103d4fe0d852f30351e42_02082018054108.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_9078bb80c2a7671c2e12aebea4815b63_02082018054108.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_2db280e7e35d3ddd0f5d2345be112b6d_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_e053fb1a8458926037bfc9e6006fb46f_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_7a8727a0cdd07a5bfeeaf9708e49233c_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_961d1809cd8d1d7f6e02e28b2448a5a8_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_f4e75182c29318c2c3933f0856c121a4_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_c1ad0a900986986a4775f7a02bc0f06b_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_dc1e5468e78875882a432b8cc5624eb6_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_393ba070876ee2255f282447d3dc5166_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_da9336b6fbd8e00f9bd0e4ddc35ab77e_02082018054109.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_e785df7964d0fdec1e398195d7b3f9a6_02082018054110.JPG",Silver,2015,Auto,Foreign Used
LEXUS NX300H 2014,https://www.smartautos.co.ke/detail/LEXUSNX300H-11270.html,4900000.00,"Fog Lights, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Bluetooth Car Kit, Air Bags, Alloy Wheels, Climate Control, Electric Mirrors, Multi Function Steering Wheel, Rear Spoiler, Trip Computer, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_4540abe71f8eae9cd9256e44bd893ed7_07122018121137.png
https://www.smartautos.co.ke/images/CarPhotos/Large_28ccb07d0334d6ede686cc49c4c23611_07122018121137.png
https://www.smartautos.co.ke/images/CarPhotos/Large_b54e349a7ff713439784302617e9e028_07122018121137.png
https://www.smartautos.co.ke/images/CarPhotos/Large_e76e2e05cab11083227571f3d7f7aa97_07122018121137.png
https://www.smartautos.co.ke/images/CarPhotos/Large_67e282618affb79f4001b0c53266f7ab_07122018121138.png
https://www.smartautos.co.ke/images/CarPhotos/Large_508008fd196fa2cb34cc21dc6a9f8b5d_07122018121138.png",Black,2014,Auto,Foreign Used
MERCEDES E200 2014,https://www.smartautos.co.ke/detail/MERCEDESE200-11796.html,3800000.00,"Cruise Control, Fog Lights, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Reverse Camera, ABS, Bluetooth Car Kit, Air Bags, Climate Control, Leather Interior, Multi Function Steering Wheel, Trip Computer, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_7a4ae78652edd2426ba9e5511d188f3b_17042019100106.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_e74485284abb6624d0ce5eabd6dd079b_17042019100111.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_7c002b7785ef330e64319868ccbaf0b7_17042019100120.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_9aa51e98f0f177c0bcb3f9f235459302_17042019100129.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_32afd4e0a72e99e67a954da45d4900d8_17042019100136.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_ad601bb1c98af658f7e899b2468d368a_17042019100143.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_e0ff25e0d0013899fd578199bc7a8f00_17042019100153.jpg",Blue,2014,Auto,Foreign Used
FORD RANGER  2013,https://www.smartautos.co.ke/detail/FORDRANGER -12033.html,3800000.00,"Cruise Control, Fog Lights, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Reverse Camera, Electric Seats, ABS, Air Bags, Alloy Wheels, Leather Interior, Multi Function Steering Wheel, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_76e343560bdb7a8b500988eccd84c234_28052019113309.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_bc64c73f9496393deea9e9d9659bb9c6_28052019113309.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_4e76a77890aa8a8c7e498476606a4411_28052019113309.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_9c51611ea37583011ba75865655a0722_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_dc160f81612a51fea1f173e0315b7353_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_58107dc0435f4ad0f35a7e756e7fdc47_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_ab810cab7113b07b73cf57dc314a7264_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_5c4ebe52e6256e8351b4a78d81d07a15_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_ea04ac33c10ea1875862d9fb4fafb9bc_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_6a87be6f4bc488c8566ee5a6c34bcd03_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_4d8126c8003d18cecfb7452a56d42ece_28052019113310.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_8a7d55c6b8e16a6b6521766eb75213b0_28052019113310.JPG",White,2013,Auto,Foreign Used
LAND ROVER RANGE ROVER SPORT. 2015,https://www.smartautos.co.ke/detail/LAND ROVERRANGE ROVER SPORT.-14132.html,7900000.00,"Cruise Control, Power Lock, Fog Lights, Rear Wiper, Leather Seats, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Reverse Camera, Electric Seats, ABS, Reverse Parking Sensors, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Multi Function Steering Wheel, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_a1355535011d257412a238acd6c51cba_27012021093746.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_8d72c1ef684767f52aaad55797bcd29f_27012021093746.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_43de365c189cb13c4118ec1eac93ae9c_27012021093746.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_81771604af7ee282d06e95afd586995b_27012021093746.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_9ac77a0e22de2fdc2fa412ba2326f686_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_57420e97ca7fa45e29ef34d19acd89de_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_1132748adc51c7de0130b9f39fae2cab_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_e5a79df78671cee2a4d3864fe29d8243_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_7385d9529ace20f2b09d53106783e67e_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_faee2ae18e0b9e0c56f78aadfcd09ad7_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_a939e6b1d23ed769e6bd82c541606246_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_62168338b31550432ce9899a81c0d128_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_bd0cfa4310b6d3aeebb268d1d23884fb_27012021093747.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_11c97fd386de89996928681fc13b4fda_27012021093747.JPG",Grey,2015,Auto,Foreign Used
MERCEDES C200 2018,https://www.smartautos.co.ke/detail/MERCEDESC200-14155.html,6700000.00,"Cruise Control, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Reverse Camera, Electric Seats, ABS, Reverse Parking Sensors, Air Bags, Alloy Wheels, Electric Mirrors, Multi Function Steering Wheel, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_68e6b3c520ca3731afbe118688af10a5_30012021010512.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_d564690abb198bd1b3c47acce97e9ed7_30012021011126.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_69ba33660b74e701a380cf4c7f86cf85_30012021010512.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_b384fc3b5d114582d576360e311a417b_30012021010617.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_0330cb3723a68177d733bf2eb705d69e_30012021010617.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_f67c1db25106166fd15382e176b7e42f_30012021010617.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_7e493b276c0093787540488d0f11107b_30012021010655.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_14596ca52b06ba847f70fd5a126585a4_30012021010655.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_cd9753d0eb5337a88f579a8288382303_30012021010655.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_26945778c12b331e9e682be00425cc22_30012021010655.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_4d010264aa517f9282c181de6491f29e_30012021010655.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_6ec3a58f6fc1dd9a3c75aa4af780f5ca_30012021010655.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_6877b45f773ddd235dd9196ceb7cfa9f_30012021010656.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_e3a840111154273d0602183493b0ab90_30012021010656.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_3fd5134185a3f6c63ebbe687a3027a9d_30012021010656.jpg",Grey,2018,Auto,Foreign Used
MAZDA BONGO 2015,https://www.smartautos.co.ke/detail/MAZDABONGO-14239.html,1350000.00,"Air Conditioning, Power Steering","https://www.smartautos.co.ke/images/CarPhotos/Large_a46b07bfc0cbf37fbd1b60388b710e53_01032021103040.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_226a54f4d747497594d453eacf3ea729_01032021103046.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_491de75363234d9d36d23f24bc658265_01032021103101.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_28cfd2cf5600f296120533662f55496c_01032021103101.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_4fb7e2aed52753f8f6e8c4fc4eaabcda_01032021103101.jpg",White,2015,Manual,Foreign Used
LAND ROVER RANGE ROVER EVOQUE. 2014,https://www.smartautos.co.ke/detail/LAND ROVERRANGE ROVER EVOQUE.-14282.html,4500000.00,"Cruise Control, Power Lock, Fog Lights, Rear Wiper, Leather Seats, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Reverse Camera, Electric Seats, ABS, Reverse Parking Sensors, Air Bags, Alloy Wheels, Front Grill, Leather Interior, Multi Function Steering Wheel, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_2e9509e2ea1effff21d204856a3fc3db_04032021015506.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_15a03d1404381ce9e23bf01ab06bf9aa_04032021015506.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_d5ed5a0cc70147991d1bf393b2e195a6_04032021015506.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_58eeaa8c2e3d4a79f27ad01181b9717f_04032021015506.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_6a234fd684886ae55651e8aa53b7d9e3_04032021015506.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_c5a5113f5a8b164d6e525b5e9ac5d64f_04032021015506.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_5a51f8d7e04ce6d6706d10ecd9a46acd_04032021015506.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_abbda0417d04a9900170eb06b76f82a9_04032021015506.JPG",Wine Red,2014,Auto,Foreign Used
LAND ROVER RANGE ROVER EVOQUE. 2014,https://www.smartautos.co.ke/detail/LAND ROVERRANGE ROVER EVOQUE.-14322.html,4100000.00,"Cruise Control, Power Lock, Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Reverse Camera, Electric Seats, ABS, Reverse Parking Sensors, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Multi Function Steering Wheel, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_c1cbbd6642f8c17e6018d4e479855043_10032021092642.png
https://www.smartautos.co.ke/images/CarPhotos/Large_9ccbb930c13c39030e1abeed6f61261c_10032021092642.png
https://www.smartautos.co.ke/images/CarPhotos/Large_3bbccbbbff400092867934c21ddbe0ba_10032021092642.png",Pearl,2014,Auto,Foreign Used
